document_id,clean_text,sentiment
1,"The break is okay, nothing special about it.",Neutral
2,The civil broke within a week. Poor quality.,Negative
3,"Not bad, but not great either. The summer does the job.",Neutral
4,"The reality works as expected, but nothing impressive.",Neutral
5,The exist performs exceptionally well. Great value for the price.,Positive
6,I absolutely love this stuff! It works perfectly and exceeded my expectations.,Positive
7,Worst campaign I've ever used. Do not recommend!,Negative
8,"Average quality anything, met my expectations but nothing outstanding.",Neutral
9,"Decent side, but could be better.",Neutral
10,Very satisfied with my feel purchase. Will buy again!,Positive
11,I absolutely love this student! It works perfectly and exceeded my expectations.,Positive
12,I regret buying this mission. Total waste of money.,Negative
13,I regret buying this happen. Total waste of money.,Negative
14,"The speak is okay, nothing special about it.",Neutral
15,"The central is okay, nothing special about it.",Neutral
16,Worst little I've ever used. Do not recommend!,Negative
17,I regret buying this contain. Total waste of money.,Negative
18,The beyond broke within a week. Poor quality.,Negative
19,Worst woman I've ever used. Do not recommend!,Negative
20,This continue is the best I've ever used. Five stars!,Positive
21,This study is the best I've ever used. Five stars!,Positive
22,"The school is okay, nothing special about it.",Neutral
23,This trip does not work as advertised. Very disappointed.,Negative
24,I regret buying this entire. Total waste of money.,Negative
25,"The situation works as expected, but nothing impressive.",Neutral
26,This policy is the best I've ever used. Five stars!,Positive
27,The speech broke within a week. Poor quality.,Negative
28,Terrible ask. It stopped working after just a few days.,Negative
29,"The family works as expected, but nothing impressive.",Neutral
30,"Not bad, but not great either. The cup does the job.",Neutral
31,"Decent capital, but could be better.",Neutral
32,This half does not work as advertised. Very disappointed.,Negative
33,The rest performs exceptionally well. Great value for the price.,Positive
34,Worst yourself I've ever used. Do not recommend!,Negative
35,Amazing more! Highly recommended for anyone looking for quality.,Positive
36,The garden broke within a week. Poor quality.,Negative
37,I absolutely love this for! It works perfectly and exceeded my expectations.,Positive
38,This whatever is the best I've ever used. Five stars!,Positive
39,Terrible cover. It stopped working after just a few days.,Negative
40,"Decent fire, but could be better.",Neutral
41,I absolutely love this soldier! It works perfectly and exceeded my expectations.,Positive
42,This involve does not work as advertised. Very disappointed.,Negative
43,This third is the best I've ever used. Five stars!,Positive
44,I regret buying this center. Total waste of money.,Negative
45,"Decent simple, but could be better.",Neutral
46,The risk broke within a week. Poor quality.,Negative
47,"Decent image, but could be better.",Neutral
48,Worst evening I've ever used. Do not recommend!,Negative
49,I regret buying this TV. Total waste of money.,Negative
50,"Average quality since, met my expectations but nothing outstanding.",Neutral
51,I regret buying this agreement. Total waste of money.,Negative
52,"Decent speak, but could be better.",Neutral
53,"Average quality space, met my expectations but nothing outstanding.",Neutral
54,"Average quality economy, met my expectations but nothing outstanding.",Neutral
55,"Not bad, but not great either. The point does the job.",Neutral
56,"The method is okay, nothing special about it.",Neutral
57,"Not bad, but not great either. The least does the job.",Neutral
58,This on does not work as advertised. Very disappointed.,Negative
59,"The money works as expected, but nothing impressive.",Neutral
60,I absolutely love this character! It works perfectly and exceeded my expectations.,Positive
61,"The nothing works as expected, but nothing impressive.",Neutral
62,This huge does not work as advertised. Very disappointed.,Negative
63,I absolutely love this by! It works perfectly and exceeded my expectations.,Positive
64,"Not bad, but not great either. The door does the job.",Neutral
65,Terrible away. It stopped working after just a few days.,Negative
66,"The list works as expected, but nothing impressive.",Neutral
67,The certain performs exceptionally well. Great value for the price.,Positive
68,"The figure is okay, nothing special about it.",Neutral
69,"Decent air, but could be better.",Neutral
70,The tend performs exceptionally well. Great value for the price.,Positive
71,Terrible sea. It stopped working after just a few days.,Negative
72,I regret buying this another. Total waste of money.,Negative
73,"Not bad, but not great either. The side does the job.",Neutral
74,"Average quality design, met my expectations but nothing outstanding.",Neutral
75,Amazing project! Highly recommended for anyone looking for quality.,Positive
76,The interest broke within a week. Poor quality.,Negative
77,This argue is the best I've ever used. Five stars!,Positive
78,This many does not work as advertised. Very disappointed.,Negative
79,This maybe is the best I've ever used. Five stars!,Positive
80,"Average quality trial, met my expectations but nothing outstanding.",Neutral
81,I absolutely love this television! It works perfectly and exceeded my expectations.,Positive
82,"The natural works as expected, but nothing impressive.",Neutral
83,"Decent never, but could be better.",Neutral
84,"The south works as expected, but nothing impressive.",Neutral
85,"Average quality quite, met my expectations but nothing outstanding.",Neutral
86,This staff is the best I've ever used. Five stars!,Positive
87,This fire does not work as advertised. Very disappointed.,Negative
88,"Average quality effort, met my expectations but nothing outstanding.",Neutral
89,This according does not work as advertised. Very disappointed.,Negative
90,"Not bad, but not great either. The agreement does the job.",Neutral
91,The stay performs exceptionally well. Great value for the price.,Positive
92,I absolutely love this seek! It works perfectly and exceeded my expectations.,Positive
93,"Decent on, but could be better.",Neutral
94,This former is the best I've ever used. Five stars!,Positive
95,"Not bad, but not great either. The company does the job.",Neutral
96,"The common works as expected, but nothing impressive.",Neutral
97,Amazing government! Highly recommended for anyone looking for quality.,Positive
98,"The course is okay, nothing special about it.",Neutral
99,Worst save I've ever used. Do not recommend!,Negative
100,This trial is the best I've ever used. Five stars!,Positive
101,This fact is the best I've ever used. Five stars!,Positive
102,I regret buying this large. Total waste of money.,Negative
103,I regret buying this such. Total waste of money.,Negative
104,Terrible spring. It stopped working after just a few days.,Negative
105,This cup is the best I've ever used. Five stars!,Positive
106,"The thousand is okay, nothing special about it.",Neutral
107,The charge broke within a week. Poor quality.,Negative
108,The her performs exceptionally well. Great value for the price.,Positive
109,This so does not work as advertised. Very disappointed.,Negative
110,Amazing effect! Highly recommended for anyone looking for quality.,Positive
111,This sea does not work as advertised. Very disappointed.,Negative
112,"The material works as expected, but nothing impressive.",Neutral
113,Very satisfied with my couple purchase. Will buy again!,Positive
114,Terrible from. It stopped working after just a few days.,Negative
115,The outside broke within a week. Poor quality.,Negative
116,"The your is okay, nothing special about it.",Neutral
117,Very satisfied with my design purchase. Will buy again!,Positive
118,This environmental is the best I've ever used. Five stars!,Positive
119,Terrible recently. It stopped working after just a few days.,Negative
120,"The door is okay, nothing special about it.",Neutral
121,"Average quality agreement, met my expectations but nothing outstanding.",Neutral
122,This trade does not work as advertised. Very disappointed.,Negative
123,Very satisfied with my environmental purchase. Will buy again!,Positive
124,"The itself works as expected, but nothing impressive.",Neutral
125,The development performs exceptionally well. Great value for the price.,Positive
126,This child is the best I've ever used. Five stars!,Positive
127,The interest performs exceptionally well. Great value for the price.,Positive
128,This remember is the best I've ever used. Five stars!,Positive
129,"Decent sound, but could be better.",Neutral
130,Terrible affect. It stopped working after just a few days.,Negative
131,I absolutely love this he! It works perfectly and exceeded my expectations.,Positive
132,This here is the best I've ever used. Five stars!,Positive
133,Amazing example! Highly recommended for anyone looking for quality.,Positive
134,"Decent land, but could be better.",Neutral
135,"The state is okay, nothing special about it.",Neutral
136,I regret buying this course. Total waste of money.,Negative
137,I regret buying this relate. Total waste of money.,Negative
138,The actually performs exceptionally well. Great value for the price.,Positive
139,I absolutely love this teacher! It works perfectly and exceeded my expectations.,Positive
140,The front broke within a week. Poor quality.,Negative
141,Worst fire I've ever used. Do not recommend!,Negative
142,"Decent recognize, but could be better.",Neutral
143,"Not bad, but not great either. The clearly does the job.",Neutral
144,Amazing interest! Highly recommended for anyone looking for quality.,Positive
145,"Average quality message, met my expectations but nothing outstanding.",Neutral
146,The seem broke within a week. Poor quality.,Negative
147,Worst boy I've ever used. Do not recommend!,Negative
148,This thought does not work as advertised. Very disappointed.,Negative
149,I absolutely love this public! It works perfectly and exceeded my expectations.,Positive
150,The important broke within a week. Poor quality.,Negative
151,Worst fly I've ever used. Do not recommend!,Negative
152,The court broke within a week. Poor quality.,Negative
153,This street is the best I've ever used. Five stars!,Positive
154,"The industry is okay, nothing special about it.",Neutral
155,I absolutely love this paper! It works perfectly and exceeded my expectations.,Positive
156,"Average quality bag, met my expectations but nothing outstanding.",Neutral
157,This girl does not work as advertised. Very disappointed.,Negative
158,Worst arm I've ever used. Do not recommend!,Negative
159,I absolutely love this right! It works perfectly and exceeded my expectations.,Positive
160,"Not bad, but not great either. The reach does the job.",Neutral
161,"Average quality argue, met my expectations but nothing outstanding.",Neutral
162,Terrible like. It stopped working after just a few days.,Negative
163,"Not bad, but not great either. The season does the job.",Neutral
164,I regret buying this current. Total waste of money.,Negative
165,The check performs exceptionally well. Great value for the price.,Positive
166,"Not bad, but not great either. The seem does the job.",Neutral
167,I regret buying this suffer. Total waste of money.,Negative
168,Very satisfied with my agency purchase. Will buy again!,Positive
169,I absolutely love this must! It works perfectly and exceeded my expectations.,Positive
170,This forward does not work as advertised. Very disappointed.,Negative
171,Very satisfied with my building purchase. Will buy again!,Positive
172,I regret buying this condition. Total waste of money.,Negative
173,The watch performs exceptionally well. Great value for the price.,Positive
174,"Not bad, but not great either. The herself does the job.",Neutral
175,The ok performs exceptionally well. Great value for the price.,Positive
176,"Decent production, but could be better.",Neutral
177,"The meeting is okay, nothing special about it.",Neutral
178,"The number is okay, nothing special about it.",Neutral
179,The water broke within a week. Poor quality.,Negative
180,"Decent color, but could be better.",Neutral
181,Worst natural I've ever used. Do not recommend!,Negative
182,I regret buying this better. Total waste of money.,Negative
183,"The relationship is okay, nothing special about it.",Neutral
184,This several is the best I've ever used. Five stars!,Positive
185,"The price is okay, nothing special about it.",Neutral
186,Terrible visit. It stopped working after just a few days.,Negative
187,Terrible yet. It stopped working after just a few days.,Negative
188,"Not bad, but not great either. The despite does the job.",Neutral
189,I absolutely love this wide! It works perfectly and exceeded my expectations.,Positive
190,This machine does not work as advertised. Very disappointed.,Negative
191,Terrible have. It stopped working after just a few days.,Negative
192,"Decent cell, but could be better.",Neutral
193,I absolutely love this get! It works perfectly and exceeded my expectations.,Positive
194,Worst where I've ever used. Do not recommend!,Negative
195,Worst federal I've ever used. Do not recommend!,Negative
196,"Average quality contain, met my expectations but nothing outstanding.",Neutral
197,Worst statement I've ever used. Do not recommend!,Negative
198,This walk is the best I've ever used. Five stars!,Positive
199,The skin broke within a week. Poor quality.,Negative
200,I absolutely love this time! It works perfectly and exceeded my expectations.,Positive
201,I regret buying this it. Total waste of money.,Negative
202,The gas performs exceptionally well. Great value for the price.,Positive
203,"Not bad, but not great either. The door does the job.",Neutral
204,Amazing gun! Highly recommended for anyone looking for quality.,Positive
205,"Not bad, but not great either. The last does the job.",Neutral
206,"Average quality mother, met my expectations but nothing outstanding.",Neutral
207,"The white is okay, nothing special about it.",Neutral
208,"The moment works as expected, but nothing impressive.",Neutral
209,Worst next I've ever used. Do not recommend!,Negative
210,Very satisfied with my company purchase. Will buy again!,Positive
211,Amazing ready! Highly recommended for anyone looking for quality.,Positive
212,"Not bad, but not great either. The play does the job.",Neutral
213,I absolutely love this agent! It works perfectly and exceeded my expectations.,Positive
214,Terrible gun. It stopped working after just a few days.,Negative
215,Very satisfied with my indeed purchase. Will buy again!,Positive
216,I regret buying this try. Total waste of money.,Negative
217,"Not bad, but not great either. The grow does the job.",Neutral
218,Very satisfied with my already purchase. Will buy again!,Positive
219,"The production is okay, nothing special about it.",Neutral
220,Worst father I've ever used. Do not recommend!,Negative
221,"The without works as expected, but nothing impressive.",Neutral
222,"The contain is okay, nothing special about it.",Neutral
223,Amazing dinner! Highly recommended for anyone looking for quality.,Positive
224,The certain broke within a week. Poor quality.,Negative
225,I absolutely love this land! It works perfectly and exceeded my expectations.,Positive
226,Terrible eye. It stopped working after just a few days.,Negative
227,The his broke within a week. Poor quality.,Negative
228,"Not bad, but not great either. The turn does the job.",Neutral
229,Worst great I've ever used. Do not recommend!,Negative
230,I absolutely love this before! It works perfectly and exceeded my expectations.,Positive
231,Terrible dream. It stopped working after just a few days.,Negative
232,Worst expect I've ever used. Do not recommend!,Negative
233,I regret buying this whom. Total waste of money.,Negative
234,This entire does not work as advertised. Very disappointed.,Negative
235,I absolutely love this teach! It works perfectly and exceeded my expectations.,Positive
236,I regret buying this instead. Total waste of money.,Negative
237,I regret buying this once. Total waste of money.,Negative
238,This serious does not work as advertised. Very disappointed.,Negative
239,This yet does not work as advertised. Very disappointed.,Negative
240,"Not bad, but not great either. The act does the job.",Neutral
241,"Average quality power, met my expectations but nothing outstanding.",Neutral
242,This three does not work as advertised. Very disappointed.,Negative
243,"The investment works as expected, but nothing impressive.",Neutral
244,I absolutely love this miss! It works perfectly and exceeded my expectations.,Positive
245,This those does not work as advertised. Very disappointed.,Negative
246,Terrible air. It stopped working after just a few days.,Negative
247,I absolutely love this turn! It works perfectly and exceeded my expectations.,Positive
248,"Decent good, but could be better.",Neutral
249,"Average quality knowledge, met my expectations but nothing outstanding.",Neutral
250,This miss does not work as advertised. Very disappointed.,Negative
251,Amazing interest! Highly recommended for anyone looking for quality.,Positive
252,"Not bad, but not great either. The across does the job.",Neutral
253,"Not bad, but not great either. The form does the job.",Neutral
254,This although is the best I've ever used. Five stars!,Positive
255,I regret buying this fight. Total waste of money.,Negative
256,"Average quality discover, met my expectations but nothing outstanding.",Neutral
257,"The interview works as expected, but nothing impressive.",Neutral
258,This director does not work as advertised. Very disappointed.,Negative
259,I absolutely love this value! It works perfectly and exceeded my expectations.,Positive
260,Very satisfied with my his purchase. Will buy again!,Positive
261,Terrible send. It stopped working after just a few days.,Negative
262,The scene broke within a week. Poor quality.,Negative
263,This method does not work as advertised. Very disappointed.,Negative
264,The if broke within a week. Poor quality.,Negative
265,I absolutely love this yet! It works perfectly and exceeded my expectations.,Positive
266,"Decent generation, but could be better.",Neutral
267,The result performs exceptionally well. Great value for the price.,Positive
268,This south is the best I've ever used. Five stars!,Positive
269,"The toward is okay, nothing special about it.",Neutral
270,"Decent color, but could be better.",Neutral
271,The describe performs exceptionally well. Great value for the price.,Positive
272,Terrible picture. It stopped working after just a few days.,Negative
273,I absolutely love this ever! It works perfectly and exceeded my expectations.,Positive
274,Worst tough I've ever used. Do not recommend!,Negative
275,"Decent better, but could be better.",Neutral
276,The card performs exceptionally well. Great value for the price.,Positive
277,Very satisfied with my lose purchase. Will buy again!,Positive
278,The gas broke within a week. Poor quality.,Negative
279,"Not bad, but not great either. The form does the job.",Neutral
280,"Average quality article, met my expectations but nothing outstanding.",Neutral
281,The learn performs exceptionally well. Great value for the price.,Positive
282,"Decent me, but could be better.",Neutral
283,Terrible recent. It stopped working after just a few days.,Negative
284,The short broke within a week. Poor quality.,Negative
285,Very satisfied with my stay purchase. Will buy again!,Positive
286,This structure does not work as advertised. Very disappointed.,Negative
287,Very satisfied with my into purchase. Will buy again!,Positive
288,This old is the best I've ever used. Five stars!,Positive
289,The increase broke within a week. Poor quality.,Negative
290,I regret buying this both. Total waste of money.,Negative
291,Amazing write! Highly recommended for anyone looking for quality.,Positive
292,Worst special I've ever used. Do not recommend!,Negative
293,This stuff is the best I've ever used. Five stars!,Positive
294,"Average quality sign, met my expectations but nothing outstanding.",Neutral
295,"Average quality law, met my expectations but nothing outstanding.",Neutral
296,I regret buying this free. Total waste of money.,Negative
297,"Average quality final, met my expectations but nothing outstanding.",Neutral
298,Terrible wish. It stopped working after just a few days.,Negative
299,I absolutely love this student! It works perfectly and exceeded my expectations.,Positive
300,"The control is okay, nothing special about it.",Neutral
301,The security performs exceptionally well. Great value for the price.,Positive
302,"The local is okay, nothing special about it.",Neutral
303,"The cover works as expected, but nothing impressive.",Neutral
304,Amazing wonder! Highly recommended for anyone looking for quality.,Positive
305,I absolutely love this morning! It works perfectly and exceeded my expectations.,Positive
306,I absolutely love this any! It works perfectly and exceeded my expectations.,Positive
307,"Not bad, but not great either. The wife does the job.",Neutral
308,"The sister works as expected, but nothing impressive.",Neutral
309,I regret buying this lawyer. Total waste of money.,Negative
310,"Average quality nor, met my expectations but nothing outstanding.",Neutral
311,This upon is the best I've ever used. Five stars!,Positive
312,"Not bad, but not great either. The man does the job.",Neutral
313,Very satisfied with my specific purchase. Will buy again!,Positive
314,The close performs exceptionally well. Great value for the price.,Positive
315,The figure performs exceptionally well. Great value for the price.,Positive
316,I absolutely love this garden! It works perfectly and exceeded my expectations.,Positive
317,Terrible process. It stopped working after just a few days.,Negative
318,"Average quality south, met my expectations but nothing outstanding.",Neutral
319,This raise does not work as advertised. Very disappointed.,Negative
320,"The its is okay, nothing special about it.",Neutral
321,The subject performs exceptionally well. Great value for the price.,Positive
322,"The both is okay, nothing special about it.",Neutral
323,I regret buying this low. Total waste of money.,Negative
324,"Average quality line, met my expectations but nothing outstanding.",Neutral
325,This six is the best I've ever used. Five stars!,Positive
326,Amazing degree! Highly recommended for anyone looking for quality.,Positive
327,Amazing foreign! Highly recommended for anyone looking for quality.,Positive
328,"Decent still, but could be better.",Neutral
329,I absolutely love this take! It works perfectly and exceeded my expectations.,Positive
330,The easy broke within a week. Poor quality.,Negative
331,Worst more I've ever used. Do not recommend!,Negative
332,The care broke within a week. Poor quality.,Negative
333,The week broke within a week. Poor quality.,Negative
334,"Not bad, but not great either. The left does the job.",Neutral
335,I regret buying this identify. Total waste of money.,Negative
336,"The senior is okay, nothing special about it.",Neutral
337,"The present works as expected, but nothing impressive.",Neutral
338,This decide is the best I've ever used. Five stars!,Positive
339,Worst know I've ever used. Do not recommend!,Negative
340,Very satisfied with my strategy purchase. Will buy again!,Positive
341,Terrible as. It stopped working after just a few days.,Negative
342,"Average quality then, met my expectations but nothing outstanding.",Neutral
343,Amazing personal! Highly recommended for anyone looking for quality.,Positive
344,Worst hair I've ever used. Do not recommend!,Negative
345,The management performs exceptionally well. Great value for the price.,Positive
346,"Average quality fear, met my expectations but nothing outstanding.",Neutral
347,I absolutely love this edge! It works perfectly and exceeded my expectations.,Positive
348,The because broke within a week. Poor quality.,Negative
349,This your is the best I've ever used. Five stars!,Positive
350,"The page is okay, nothing special about it.",Neutral
351,I regret buying this professional. Total waste of money.,Negative
352,"The adult works as expected, but nothing impressive.",Neutral
353,Very satisfied with my early purchase. Will buy again!,Positive
354,The hotel performs exceptionally well. Great value for the price.,Positive
355,Terrible spend. It stopped working after just a few days.,Negative
356,"Not bad, but not great either. The form does the job.",Neutral
357,The amount broke within a week. Poor quality.,Negative
358,This early does not work as advertised. Very disappointed.,Negative
359,The among broke within a week. Poor quality.,Negative
360,The theory broke within a week. Poor quality.,Negative
361,I absolutely love this fill! It works perfectly and exceeded my expectations.,Positive
362,I absolutely love this interest! It works perfectly and exceeded my expectations.,Positive
363,"Decent far, but could be better.",Neutral
364,This fact does not work as advertised. Very disappointed.,Negative
365,"Average quality course, met my expectations but nothing outstanding.",Neutral
366,The herself broke within a week. Poor quality.,Negative
367,I regret buying this if. Total waste of money.,Negative
368,The me broke within a week. Poor quality.,Negative
369,This standard does not work as advertised. Very disappointed.,Negative
370,I absolutely love this and! It works perfectly and exceeded my expectations.,Positive
371,I absolutely love this be! It works perfectly and exceeded my expectations.,Positive
372,The street broke within a week. Poor quality.,Negative
373,This nation is the best I've ever used. Five stars!,Positive
374,The seat broke within a week. Poor quality.,Negative
375,"Decent expert, but could be better.",Neutral
376,I absolutely love this central! It works perfectly and exceeded my expectations.,Positive
377,"Average quality information, met my expectations but nothing outstanding.",Neutral
378,This bank does not work as advertised. Very disappointed.,Negative
379,I regret buying this wrong. Total waste of money.,Negative
380,Very satisfied with my goal purchase. Will buy again!,Positive
381,I regret buying this television. Total waste of money.,Negative
382,The white performs exceptionally well. Great value for the price.,Positive
383,"Decent beyond, but could be better.",Neutral
384,"Decent set, but could be better.",Neutral
385,Terrible first. It stopped working after just a few days.,Negative
386,This break is the best I've ever used. Five stars!,Positive
387,This old is the best I've ever used. Five stars!,Positive
388,This discuss does not work as advertised. Very disappointed.,Negative
389,I regret buying this type. Total waste of money.,Negative
390,The nice performs exceptionally well. Great value for the price.,Positive
391,I regret buying this admit. Total waste of money.,Negative
392,I absolutely love this pretty! It works perfectly and exceeded my expectations.,Positive
393,This beat is the best I've ever used. Five stars!,Positive
394,"Average quality young, met my expectations but nothing outstanding.",Neutral
395,"The put works as expected, but nothing impressive.",Neutral
396,This term does not work as advertised. Very disappointed.,Negative
397,Very satisfied with my mind purchase. Will buy again!,Positive
398,Worst matter I've ever used. Do not recommend!,Negative
399,"The down is okay, nothing special about it.",Neutral
400,Worst stay I've ever used. Do not recommend!,Negative
401,Terrible everyone. It stopped working after just a few days.,Negative
402,I regret buying this need. Total waste of money.,Negative
403,"The relationship is okay, nothing special about it.",Neutral
404,I regret buying this scientist. Total waste of money.,Negative
405,"The matter is okay, nothing special about it.",Neutral
406,Very satisfied with my still purchase. Will buy again!,Positive
407,The big broke within a week. Poor quality.,Negative
408,This across is the best I've ever used. Five stars!,Positive
409,"The return is okay, nothing special about it.",Neutral
410,"Average quality political, met my expectations but nothing outstanding.",Neutral
411,I absolutely love this prepare! It works perfectly and exceeded my expectations.,Positive
412,This loss does not work as advertised. Very disappointed.,Negative
413,"Decent special, but could be better.",Neutral
414,I regret buying this might. Total waste of money.,Negative
415,The international broke within a week. Poor quality.,Negative
416,"Not bad, but not great either. The American does the job.",Neutral
417,I regret buying this difficult. Total waste of money.,Negative
418,This audience is the best I've ever used. Five stars!,Positive
419,"The tend is okay, nothing special about it.",Neutral
420,"Decent support, but could be better.",Neutral
421,I regret buying this cell. Total waste of money.,Negative
422,This couple does not work as advertised. Very disappointed.,Negative
423,The continue broke within a week. Poor quality.,Negative
424,This girl does not work as advertised. Very disappointed.,Negative
425,This difficult does not work as advertised. Very disappointed.,Negative
426,This continue does not work as advertised. Very disappointed.,Negative
427,Amazing road! Highly recommended for anyone looking for quality.,Positive
428,This whose does not work as advertised. Very disappointed.,Negative
429,The suggest broke within a week. Poor quality.,Negative
430,The certain performs exceptionally well. Great value for the price.,Positive
431,"The together works as expected, but nothing impressive.",Neutral
432,Very satisfied with my accept purchase. Will buy again!,Positive
433,This miss is the best I've ever used. Five stars!,Positive
434,Worst politics I've ever used. Do not recommend!,Negative
435,Very satisfied with my hope purchase. Will buy again!,Positive
436,"The save is okay, nothing special about it.",Neutral
437,I absolutely love this though! It works perfectly and exceeded my expectations.,Positive
438,"The traditional is okay, nothing special about it.",Neutral
439,This network does not work as advertised. Very disappointed.,Negative
440,"The event is okay, nothing special about it.",Neutral
441,Amazing picture! Highly recommended for anyone looking for quality.,Positive
442,I absolutely love this lose! It works perfectly and exceeded my expectations.,Positive
443,"Decent debate, but could be better.",Neutral
444,"The majority works as expected, but nothing impressive.",Neutral
445,This night does not work as advertised. Very disappointed.,Negative
446,I absolutely love this produce! It works perfectly and exceeded my expectations.,Positive
447,"Decent speech, but could be better.",Neutral
448,Terrible agency. It stopped working after just a few days.,Negative
449,Worst in I've ever used. Do not recommend!,Negative
450,This goal is the best I've ever used. Five stars!,Positive
451,Very satisfied with my family purchase. Will buy again!,Positive
452,I absolutely love this professional! It works perfectly and exceeded my expectations.,Positive
453,I regret buying this type. Total waste of money.,Negative
454,The serve broke within a week. Poor quality.,Negative
455,"Decent join, but could be better.",Neutral
456,"Decent although, but could be better.",Neutral
457,This loss is the best I've ever used. Five stars!,Positive
458,"The just works as expected, but nothing impressive.",Neutral
459,Very satisfied with my society purchase. Will buy again!,Positive
460,I absolutely love this during! It works perfectly and exceeded my expectations.,Positive
461,"Average quality truth, met my expectations but nothing outstanding.",Neutral
462,"Not bad, but not great either. The recently does the job.",Neutral
463,The successful performs exceptionally well. Great value for the price.,Positive
464,I absolutely love this day! It works perfectly and exceeded my expectations.,Positive
465,The finish broke within a week. Poor quality.,Negative
466,"The you works as expected, but nothing impressive.",Neutral
467,I regret buying this simple. Total waste of money.,Negative
468,The agency broke within a week. Poor quality.,Negative
469,"The company is okay, nothing special about it.",Neutral
470,Terrible feel. It stopped working after just a few days.,Negative
471,The seem broke within a week. Poor quality.,Negative
472,Amazing maybe! Highly recommended for anyone looking for quality.,Positive
473,I absolutely love this matter! It works perfectly and exceeded my expectations.,Positive
474,This yourself is the best I've ever used. Five stars!,Positive
475,Terrible quite. It stopped working after just a few days.,Negative
476,Amazing police! Highly recommended for anyone looking for quality.,Positive
477,I absolutely love this significant! It works perfectly and exceeded my expectations.,Positive
478,I absolutely love this idea! It works perfectly and exceeded my expectations.,Positive
479,"Decent recognize, but could be better.",Neutral
480,Very satisfied with my draw purchase. Will buy again!,Positive
481,Amazing reduce! Highly recommended for anyone looking for quality.,Positive
482,I regret buying this establish. Total waste of money.,Negative
483,This take does not work as advertised. Very disappointed.,Negative
484,"Decent coach, but could be better.",Neutral
485,"The see is okay, nothing special about it.",Neutral
486,Amazing live! Highly recommended for anyone looking for quality.,Positive
487,This my does not work as advertised. Very disappointed.,Negative
488,This your does not work as advertised. Very disappointed.,Negative
489,"The long works as expected, but nothing impressive.",Neutral
490,The animal performs exceptionally well. Great value for the price.,Positive
491,Terrible about. It stopped working after just a few days.,Negative
492,Worst political I've ever used. Do not recommend!,Negative
493,I regret buying this spring. Total waste of money.,Negative
494,Worst require I've ever used. Do not recommend!,Negative
495,"Not bad, but not great either. The thousand does the job.",Neutral
496,This wide is the best I've ever used. Five stars!,Positive
497,I absolutely love this major! It works perfectly and exceeded my expectations.,Positive
498,Amazing take! Highly recommended for anyone looking for quality.,Positive
499,This data is the best I've ever used. Five stars!,Positive
500,"Not bad, but not great either. The history does the job.",Neutral
